alpha,ell_s,n,r_peak/M,V0,V2_tortoise,Re_omega_M,Minus_Im_omega_M,method
0.25,3,1,1.765319675085714,0.9551450654328776,-0.07450145779140091,1.0178621513685528,0.28442625363306645,first_order_WKB
0.25,3,2,1.765319675085714,0.9551450654328776,-0.07450145779140091,1.0753898040007672,0.44868492855892855,first_order_WKB
0.296,0,0,1.5259614326233573,0.038985260305285444,-0.0035763913872089766,0.21965982500505882,0.09625579679150559,first_order_WKB
0.296,0,1,1.5259614326233573,0.038985260305285444,-0.0035763913872089766,0.2930030232508455,0.21648443668968465,first_order_WKB
0.296,0,2,1.5259614326233573,0.038985260305285444,-0.0035763913872089766,0.35635983381071806,0.2966598571568407,first_order_WKB
0.296,1,0,1.4077913763573093,0.2388506661250263,-0.015166790687743298,0.4965284219788837,0.08769154866812469,first_order_WKB
0.296,1,1,1.4077913763573093,0.2388506661250263,-0.015166790687743298,0.5444393204696456,0.23992396201384955,first_order_WKB
0.296,1,2,1.4077913763573093,0.2388506661250263,-0.015166790687743298,0.6064131376868251,0.3590072804751374,first_order_WKB
0.296,2,0,1.3884538610551926,0.6398417093796792,-0.03862104936280951,0.8045494491915566,0.08636033125664687,first_order_WKB
0.296,2,1,1.3884538610551926,0.6398417093796792,-0.03862104936280951,0.8377087452484628,0.24882570704425783,first_order_WKB
0.296,2,2,1.3884538610551926,0.6398417093796792,-0.03862104936280951,0.8900517420778129,0.390320886189902,first_order_WKB
0.296,3,0,1.3826396903952853,1.2414724193477977,-0.07384572967747559,1.1175257094264628,0.08597262285938005,first_order_WKB
0.296,3,1,1.3826396903952853,1.2414724193477977,-0.07384572967747559,1.1424212740155786,0.2522973404052845,first_order_WKB
0.296,3,2,1.3826396903952853,1.2414724193477977,-0.07384572967747559,1.1855988806375872,0.4051817942865916,first_order_WKB
